,,,
,РАННЕР,,
,,П О Н Е Д Е Л Ь Н И К ,
,08:00 - 09:00,Протереть дверь и дверную ручку внутри и снаружи,FALSE
,,"Проверить туалетную комнату на чистоту, при необходимости помыть",TRUE
,,"Проверить все столы на чистоту, диваны и кресла на чистоту от крошек и пятен, проверить наполненность салфетниц. Подушки на диванах и креслах взбиты и лежат аккуратно",TRUE
,,Проверить полы на чистоту,TRUE
,,"Проверить витрину на чистоту: протереть снаружи при необходимости. Конденсат с крышек протереть,  либо поменять местами позиции ставить нижний на верхний",TRUE
,,Проверить место с расходниками для гостей на чистоту и на наполненность,TRUE
,,,
,09:00 - 10:00,"Протереть гостевую зону по продаже чая / дрипов / пряников. А также всё содержимое на ней (подставки, дрипы, шоколад, банку с фрешом, чаи в пачках) и протереть за кофемашиной",TRUE
,,Протереть навесную полку и содержимое на ней: банки с чаем,TRUE
,,Протереть бутылки с сиропами,TRUE
,,Если стоят цветы в вазах на столах – поменять воду,FALSE
,,Протереть лицевую часть бара,TRUE
,,,
,10:00 - 11:30,Протереть уличный баннер (при необходимости со средством от налета),TRUE
,,Протереть стеллажи с пачками зерна/шоколада (напротив бара и рядом с витриной) ,TRUE
,,"Проверить товарную витрину (стеллажи) – все позиции стоят ровно  с примерно одинаковым расстоянием друг к другу
А также проверить выкладу – все позиции стоят строго по ротации
стеллаж 1:  фото 1,  фото 2,  фото 3
стеллаж 2
стеллаж 3 ",FALSE
,,"Протереть стеллаж со свечами, а также все выступы и стекла стеллажа 
(нужно выдвинуть стекла и протереть)",TRUE
,,Протереть пороги лестницы,TRUE
,,,
,11:30 - 12:30,"2 этаж: протереть нижний и верхний подоконник от пыли, а также всё то что стоит/лежит из декора на подоконниках",FALSE
,,За баром: пропылесосить мусор под металлическими стеллажами,FALSE
,,"Паутина: убрать вдоль стены по лестнице, на потолке и с углов, со световых источников, в дверных проемах, с цветов, навесной полки и стеллажей",FALSE
,,,
,в течение дня,"Проверить на чистоту полы в кофейне (каждый час-полтора). При необходимости подмести, протереть ",TRUE
,,Разогревать еду,TRUE
,,Упаковывать десерты,TRUE
,,Проверить в витрине еду на сбор конденсата,FALSE
,,Наполнить расходники для гостей (органайзер),TRUE
