
,, ПЕРВЫЙ  РАБОЧИЙ ДЕНЬ  РАННЕРА
,начало смены ,Подмести летнюю площадку,TRUE,TRUE
,,Расставить мебель на летней площадке (индивид. обсуждать с Бариста),TRUE,TRUE
,,"Проверить, чтобы не шатались столы на летней площадке",TRUE,TRUE
,,"Протереть мебель (лавочки, столы, стулья) и подстолья / ножки стульев от пыли (на летней площадке и в зале)",TRUE,FALSE
,,Подмести и помыть лестницу,TRUE,FALSE
,,Протереть входную дверь и дверную ручку с внешней и внутренней стороны,TRUE,TRUE

,середина смены,Проверить витрину на чистоту: протереть снаружи при необходимости,TRUE,FALSE
,,Проверить выкладку витрины на аккуратность и красивую расстановку позиций – пример ,TRUE,FALSE
,,Наполнить расходники для гостей (органайзер),TRUE,FALSE
,,Протереть навесную полку над раковиной и все содержимое на ней,TRUE,FALSE
,,Протереть настенное меню (если в пятнах),TRUE,FALSE
,,Накрутить перчатки для онигурадзу,TRUE,FALSE

,обязательно проверить,"Помыть резиновые коврики, очистить от грязи",TRUE,FALSE
,,Протереть лицевую часть бара,TRUE,FALSE
,,"Протереть деревянные полки за баром с расходниками, полки с дрипами, банками чая, сиропами. А также протереть банки чая и бутылки сиропов",TRUE,FALSE
,,Протереть кофейные стеллажи и упаковки зерна. Проверить ротацию упаковок,TRUE,FALSE
,,"Пройтись по кофейне, убрать паутину с углов, потолка, цветов",TRUE,FALSE
,,Протереть гостевую столешницу и всё содержимое на ней,TRUE,FALSE
,,"Проверить черные ценники на дубли и соответствие с ценами. При необходимости стереть дубли, либо скорректировать цену",TRUE,FALSE

,в течение дня (проверять каждый час в зависимости от загруженности),"Проверка летней площадки не менее, чем раз в 1 ч",TRUE,FALSE
,,"Наполнить зону бара на продажу гостям: сок, вода 0,5, батончики",TRUE,FALSE
,,"Проверить товарную витрину (стеллажи) – все позиции стоят ровно  с примерно одинаковым расстоянием друг к другу
А также проверить выкладу – все позиции стоят строго по ротации
пример стеллаж 1 
пример стеллаж 2",FALSE,FALSE
,,"Наполнить органайзеры с расходниками для гостей: сахар в стиках, трубочки, салфетки, размешиватель",TRUE,FALSE
,,"Пополнить зону гриля на наличие расходных материалов, протереть от крошек",TRUE,FALSE
,,Витрина: протереть внутри и снаружи,FALSE,FALSE


,, ВТОРОЙ  РАБОЧИЙ ДЕНЬ  РАННЕРА
,начало смены ,Подмести летнюю площадку,TRUE,FALSE
,,Расставить мебель на летней площадке (индивид. обсуждать с Бариста),TRUE,FALSE
,,"Проверить, чтобы не шатались столы на летней площадке",TRUE,FALSE
,,"Протереть мебель (лавочки, столы, стулья) и подстолья / ножки стульев от пыли (на летней площадке и в зале)",TRUE,FALSE
,,Подмести и помыть лестницу,TRUE,FALSE
,,Протереть входную дверь и дверную ручку с внешней и внутренней стороны,TRUE,FALSE

,середина смены,Проверить витрину на чистоту: протереть снаружи при необходимости,TRUE,FALSE
,,Проверить выкладку витрины на аккуратность и красивую расстановку позиций – пример ,TRUE,FALSE
,,Наполнить расходники для гостей (органайзер),TRUE,FALSE
,,"Проверить цветы на полив в зале и на улице, при необходимости полить
Важно! В летнюю погоду мы тщательно лейкой поливаем цветы в клумбах на летней площадке",TRUE,FALSE

,обязательно проверить,Протереть вешалку с полкой при входе и плинтуса в кофейне,TRUE,FALSE
,,"Протереть световые источники в кофейне, кондиционер",TRUE,FALSE
,,Протереть гостевую столешницу и всё содержимое на ней,TRUE,FALSE
,,"Проверить черные ценники на дубли и соответствие с ценами. При необходимости стереть дубли, либо скорректировать цену",TRUE,FALSE
